ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,Country,Currency,CompTotal,CompFreq,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,ICorPM,WorkExp,ConvertedCompYearly
39905,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,7,"Developer, front-end","5,000 to 9,999 employees",I have little or no influence,United States of America,USD	United States dollar,420000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Asian,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,10,420000
39906,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,9,"Developer, front-end;Designer","1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,30,100000
39918,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,21,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,I have a great deal of influence,United States of America,USD	United States dollar,200000,Yearly,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,People manager,21,200000
39926,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",41,26,"Developer, back-end;Database administrator;Project manager;Cloud infrastructure engineer;System administrator",2 to 9 employees,I have a great deal of influence,United States of America,USD	United States dollar,150000,Yearly,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not at all",35-44 years old,Man,No,NA,White,None of the above,None of the above,Independent contributor,30,150000
39936,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,11,"Developer, full-stack","10,000 or more employees",I have some influence,United States of America,USD	United States dollar,302063,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,11,302063
39940,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",More than 50 years,44,"Developer, back-end;Database administrator;Project manager;Cloud infrastructure engineer;Data or business analyst;System administrator;Security professional",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,152000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",65 years or older,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,Independent contributor,44,152000
39942,I am a developer by profession,"Employed, full-time",Fully remote,Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,3,"Developer, back-end",500 to 999 employees,I have little or no influence,United States of America,USD	United States dollar,179630,Yearly,Stack Overflow,A few times per week,No,NA,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,3,179630
39954,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,10,"Developer, full-stack",10 to 19 employees,I have a great deal of influence,United States of America,USD	United States dollar,123500,Yearly,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,Multiracial,None of the above,None of the above,People manager,11,123500
39957,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36,28,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices","5,000 to 9,999 employees",I have some influence,United States of America,USD	United States dollar,175000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",45-54 years old,Man,No,Straight / Heterosexual,White;Asian;Biracial,None of the above,None of the above,Independent contributor,32,175000
39959,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36,30,"Engineer, data;Developer, full-stack",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,142000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,30,142000
39967,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,"Developer, back-end","1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,192000,Yearly,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,7,192000
39969,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,25,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Cloud infrastructure engineer;Designer",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,153000,Yearly,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Neutral,45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,People manager,27,153000
39972,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,2,"Developer, front-end;Designer",20 to 99 employees,I have little or no influence,United States of America,USD	United States dollar,92000,Yearly,Stack Overflow;Stack Exchange,A few times per week,No,NA,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Independent contributor,2,92000
39973,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,7,"Developer, front-end;Developer, full-stack","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,110000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White;European;North American,None of the above,None of the above,Independent contributor,7,110000
39987,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,4,"Developer, full-stack",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,115000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Asian;East Asian,None of the above,None of the above,Independent contributor,12,115000
40001,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Freelance/contract work,Some college/university study without earning a degree,27,25,"Developer, desktop or enterprise applications","1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,160000,Yearly,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White;European;North American,I am blind / have difficulty seeing,"I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,25,160000
40007,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Primary/elementary school,12,8,"Developer, front-end","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,135000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",18-24 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,Independent contributor,8,135000
40012,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,2,"Developer, back-end;Developer, embedded applications or devices;Cloud infrastructure engineer;Designer","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,145000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,1,145000
40015,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,6,"Developer, back-end",100 to 499 employees,I have a great deal of influence,United States of America,USD	United States dollar,151000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,Independent contributor,16,151000
40016,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,4,"Developer, full-stack","10,000 or more employees",I have a great deal of influence,United States of America,USD	United States dollar,323000,Yearly,Stack Overflow,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,4,323000
40036,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,4,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,150000,Yearly,Stack Overflow,A few times per week,No,NA,"No, not really",35-44 years old,Woman,No,Straight / Heterosexual,White;North American,None of the above,I have an anxiety disorder,Independent contributor,4,150000
40044,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,10,Engineering manager,100 to 499 employees,I have a great deal of influence,United States of America,USD	United States dollar,160000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,People manager,10,160000
40046,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,3,"Developer, full-stack;Developer, back-end",20 to 99 employees,I have little or no influence,United States of America,USD	United States dollar,78000,Yearly,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,A few times per week,No,NA,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,3,78000
40050,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Professional degree (JD, MD, etc.)",7,7,Educator;Data or business analyst,20 to 99 employees,I have some influence,United States of America,USD	United States dollar,180000,Yearly,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;Hispanic or Latino/a,None of the above,None of the above,Independent contributor,7,180000
40053,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,DevOps specialist;Cloud infrastructure engineer;System administrator,500 to 999 employees,I have some influence,United States of America,USD	United States dollar,3000,Monthly,Stack Overflow;Stack Exchange,A few times per month or weekly,No,NA,"No, not really",45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,10,36000
40054,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,16,"Developer, full-stack;Project manager",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,96000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,Independent contributor,16,96000
40061,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,2,Data scientist or machine learning specialist,"1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,200000,Yearly,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,1,200000
40068,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,Some college/university study without earning a degree,9,7,"Developer, front-end;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,200000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Independent contributor,7,200000
40074,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,3,"Developer, back-end","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,246000,Yearly,Stack Overflow;Stack Exchange,Less than once per month or monthly,No,NA,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Asian;South Asian,None of the above,Prefer not to say,Independent contributor,3,246000
40075,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,7,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer;Security professional",10 to 19 employees,I have a great deal of influence,United States of America,USD	United States dollar,175000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,7,175000
40080,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,7,Data scientist or machine learning specialist;Engineering manager,20 to 99 employees,I have a great deal of influence,United States of America,USD	United States dollar,250000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",35-44 years old,Woman,No,Straight / Heterosexual,Central American,None of the above,None of the above,People manager,13,250000
40083,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,Less than 1 year,Database administrator,20 to 99 employees,I have little or no influence,United States of America,USD	United States dollar,35000,Yearly,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Straight / Heterosexual,White;Hispanic or Latino/a,None of the above,None of the above,Independent contributor,1,35000
40096,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business,Some college/university study without earning a degree,17,11,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Cloud infrastructure engineer",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,145000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",People manager,11,145000
40102,I am a developer by profession,"Employed, part-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",38,32,"Developer, desktop or enterprise applications;Project manager",10 to 19 employees,I have some influence,United States of America,USD	United States dollar,87000,Yearly,Stack Overflow,Less than once per month or monthly,Yes,Less than once per month or monthly,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White;Hispanic or Latino/a,None of the above,None of the above,People manager,30,87000
40109,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",38,30,"Developer, desktop or enterprise applications","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",55-64 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Independent contributor,30,100000
40122,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50,25,"Developer, desktop or enterprise applications;Developer, mobile",500 to 999 employees,I have a great deal of influence,United States of America,USD	United States dollar,100000,Yearly,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,Neutral,55-64 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,50,100000
40125,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Other doctoral degree (Ph.D., Ed.D., etc.)",15,10,"Data scientist or machine learning specialist;Developer, full-stack;Cloud infrastructure engineer;Scientist;System administrator",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,220000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Prefer not to say,White,None of the above,Prefer not to say,People manager,11,220000
40131,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Some college/university study without earning a degree,11,10,"Developer, back-end","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,215000,Yearly,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Independent contributor,11,215000
40137,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Full in-person,Hobby,Some college/university study without earning a degree,17,3,System administrator,20 to 99 employees,I have a great deal of influence,United States of America,USD	United States dollar,56000,Yearly,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Independent contributor,3,56000
40140,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,6,"Data scientist or machine learning specialist;Developer, full-stack;Developer, QA or test","10,000 or more employees",I have some influence,United States of America,USD	United States dollar,300000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,NA,White,None of the above,None of the above,Independent contributor,6,300000
40151,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,1,"Engineer, data;Developer, full-stack",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,92000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Not sure/can't remember,NA,Neutral,25-34 years old,Man,No,Bisexual,White;European,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,12,92000
40158,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby,Some college/university study without earning a degree,11,5,DevOps specialist,"1,000 to 4,999 employees",I have a great deal of influence,United States of America,USD	United States dollar,120000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,NA,NA,NA,NA,Independent contributor,11,120000
40166,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Associate degree (A.A., A.S., etc.)",42,39,"Developer, embedded applications or devices",100 to 499 employees,I have a great deal of influence,United States of America,USD	United States dollar,225000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,"No, not really",55-64 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Independent contributor,42,225000
40168,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,10,"Developer, full-stack",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,178000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Woman,No,Straight / Heterosexual,White;European;North American,None of the above,None of the above,Independent contributor,15,178000
40170,I am a developer by profession,"Employed, full-time",Full in-person,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,10,"Developer, full-stack",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,125000,Yearly,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",55-64 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,41,125000
40173,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,6,"Developer, back-end;Blockchain",500 to 999 employees,I have little or no influence,United States of America,USD	United States dollar,143000,Yearly,Stack Overflow,A few times per month or weekly,Not sure/can't remember,NA,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Independent contributor,6,143000
40175,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,3,"Developer, front-end","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,300000,Yearly,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Asian;East Asian,None of the above,None of the above,Independent contributor,3,300000
40190,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Freelance/contract work,"Associate degree (A.A., A.S., etc.)",29,27,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Data or business analyst;Designer",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,115000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Not sure/can't remember,NA,Neutral,55-64 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,27,115000
40191,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work;School or academic work,"Associate degree (A.A., A.S., etc.)",19,18,"Developer, full-stack",20 to 99 employees,I have some influence,United States of America,USD	United States dollar,140000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Independent contributor,20,140000
40195,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,5,"Developer, desktop or enterprise applications",I don’t know,I have little or no influence,United States of America,USD	United States dollar,95000,Yearly,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,5,95000
40196,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,30,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Educator;Database administrator;Data or business analyst;Designer","Just me - I am a freelancer, sole proprietor, etc.",I have some influence,United States of America,USD	United States dollar,280000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,65 years or older,Man,No,Straight / Heterosexual,White;European,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,30,280000
40205,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Other (please specify):,Some college/university study without earning a degree,13,7,"Engineer, site reliability;Developer, full-stack;DevOps specialist;Cloud infrastructure engineer;System administrator","1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,67000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",25-34 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,Prefer to self-describe:,White;North American,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Independent contributor,9,67000
40216,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,"Developer, back-end",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,90000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,NA,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,6,90000
40217,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28,24,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Cloud infrastructure engineer","1,000 to 4,999 employees",I have a great deal of influence,United States of America,USD	United States dollar,90000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White;Indian;Multiracial,None of the above,None of the above,Independent contributor,24,90000
40221,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,13,"Engineer, site reliability;Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile;DevOps specialist;Other (please specify):",2 to 9 employees,I have a great deal of influence,United States of America,USD	United States dollar,150000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not at all",35-44 years old,Man,No,NA,White,None of the above,None of the above,Independent contributor,20,150000
